date;impfstoff;region;dosen
26.12.2020;comirnaty;DE-BW;9750
26.12.2020;comirnaty;DE-BY;9750
26.12.2020;comirnaty;DE-BE;9750
26.12.2020;comirnaty;DE-BB;9750
26.12.2020;comirnaty;DE-HB;4875
26.12.2020;comirnaty;DE-HH;9750
26.12.2020;comirnaty;DE-HE;9750
26.12.2020;comirnaty;DE-MV;9750
26.12.2020;comirnaty;DE-NI;9750
26.12.2020;comirnaty;DE-NW;9750
26.12.2020;comirnaty;DE-RP;9750
26.12.2020;comirnaty;DE-SL;9750
26.12.2020;comirnaty;DE-SN;9750
26.12.2020;comirnaty;DE-ST;9750
26.12.2020;comirnaty;DE-SH;9750
26.12.2020;comirnaty;DE-TH;9750
28.12.2020;comirnaty;DE-BW;78000
28.12.2020;comirnaty;DE-BY;97500
28.12.2020;comirnaty;DE-BE;19500
28.12.2020;comirnaty;DE-BB;9750
28.12.2020;comirnaty;DE-HB;0
28.12.2020;comirnaty;DE-HH;4875
28.12.2020;comirnaty;DE-HE;39000
28.12.2020;comirnaty;DE-MV;4875
28.12.2020;comirnaty;DE-NI;53625
28.12.2020;comirnaty;DE-NW;131625
28.12.2020;comirnaty;DE-RP;24375
28.12.2020;comirnaty;DE-SL;0
28.12.2020;comirnaty;DE-SN;24375
28.12.2020;comirnaty;DE-ST;9750
28.12.2020;comirnaty;DE-SH;14625
28.12.2020;comirnaty;DE-TH;9750
30.12.2020;comirnaty;DE-BW;79950
30.12.2020;comirnaty;DE-BY;101400
30.12.2020;comirnaty;DE-BE;29250
30.12.2020;comirnaty;DE-BB;19500
30.12.2020;comirnaty;DE-HB;4875
30.12.2020;comirnaty;DE-HH;14625
30.12.2020;comirnaty;DE-HE;48750
30.12.2020;comirnaty;DE-MV;14625
30.12.2020;comirnaty;DE-NI;58500
30.12.2020;comirnaty;DE-NW;140400
30.12.2020;comirnaty;DE-RP;34125
30.12.2020;comirnaty;DE-SL;9750
30.12.2020;comirnaty;DE-SN;34125
30.12.2020;comirnaty;DE-ST;19500
30.12.2020;comirnaty;DE-SH;24375
30.12.2020;comirnaty;DE-TH;19500
08.01.2021;comirnaty;DE-BW;92625
08.01.2021;comirnaty;DE-BY;112125
08.01.2021;comirnaty;DE-BE;29250
08.01.2021;comirnaty;DE-BB;19500
08.01.2021;comirnaty;DE-HB;4875
08.01.2021;comirnaty;DE-HH;14625
08.01.2021;comirnaty;DE-HE;48750
08.01.2021;comirnaty;DE-MV;14625
08.01.2021;comirnaty;DE-NI;63375
08.01.2021;comirnaty;DE-NW;146250
08.01.2021;comirnaty;DE-RP;34125
08.01.2021;comirnaty;DE-SL;9750
08.01.2021;comirnaty;DE-SN;34125
08.01.2021;comirnaty;DE-ST;19500
08.01.2021;comirnaty;DE-SH;24375
08.01.2021;comirnaty;DE-TH;19500
12.01.2021;moderna;DE-BW;8400
12.01.2021;moderna;DE-BY;9600
12.01.2021;moderna;DE-BE;2400
12.01.2021;moderna;DE-BB;2400
12.01.2021;moderna;DE-HB;1200
12.01.2021;moderna;DE-HH;1200
12.01.2021;moderna;DE-HE;4800
12.01.2021;moderna;DE-MV;1200
12.01.2021;moderna;DE-NI;6000
12.01.2021;moderna;DE-NW;13200
12.01.2021;moderna;DE-RP;3600
12.01.2021;moderna;DE-SL;1200
12.01.2021;moderna;DE-SN;3600
12.01.2021;moderna;DE-ST;1200
12.01.2021;moderna;DE-SH;2400
